id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
673923179913557716,La Tua Mansarda a Bergamo,259348237,Corrado E Simona,,Bergamo,45.6929,9.69238,Entire home/apt,59,1,9,2024-03-27,0.49,1,21,5,016024-LNI-00039
674446172117126247,Appartamento incantevole Lenna Val Brembana,180639723,Stefano,,Lenna,45.9412,9.67461,Entire home/apt,51,2,8,2024-05-18,0.44,1,154,6,
674482097264681743,"Torrezzo Chalet
Minichalet nel bosco vista lago",470365547,Cinzia,,Monasterolo del Castello,45.76117,9.93803,Entire home/apt,196,1,73,2024-06-27,3.20,1,49,43,016137/cni/00006
674510552186291920,Suite La Fenice Bergamo,470375935,Maria Angela,,Bergamo,45.69529837557017,9.686288000252343,Entire home/apt,136,1,9,2023-11-05,0.41,1,119,3,
677205641256399818,Csendes és nyugodt hely medencével.,114847772,Péter,,Parzanica,45.739512643607064,10.04021879285574,Entire home/apt,71,3,21,2024-06-14,0.91,1,118,13,
678031850427306360,My Home For You - Città Alta - Garden Apartment,32414538,Silvia,,Bergamo,45.70936,9.64929,Entire home/apt,190,1,17,2024-05-29,0.75,5,158,13,016024-CIM-00562
678679748339446179,Eremo della luna,221659092,Gius,,Almenno San Bartolomeo,45.76656352807319,9.559679899444577,Entire home/apt,,3,9,2023-09-23,0.41,1,89,3,
679326214910970473,B&B NEL CENTRO STORICO DI ARDESIO,456893550,Loris,,Ardesio,45.93892779999999,9.9313933,Entire home/apt,45,1,42,2024-06-16,1.82,1,353,22,
679546311608325780,leo&dani's house casa vacanza,145629211,Andrea,,Castione della Presolana,45.90456997427412,10.035377826983654,Entire home/apt,88,2,15,2024-02-18,1.19,1,316,14,
679678160776573982,APPARTAMENTO IN CENTRO di ultima generazione.,349348648,Christian,,Bergamo,45.69373743436054,9.650071984593941,Entire home/apt,60,1,88,2024-06-21,3.89,2,310,50,016024-CNI-00812
680110715506558271,Villetta Lago e Monti,82020772,Fabio,,Spinone al Lago,45.76151,9.91527,Entire home/apt,45,2,3,2024-04-01,0.18,1,161,1,
680156043620176176,The Old Nest-  Bergamo,246414492,Marco,,Bergamo,45.701958557541786,9.67214808035659,Entire home/apt,75,1,55,2024-06-29,3.68,1,136,39,
680259050039292443,IseoLakeRental - Appartamento Celeste,30792380,Nala Srl,,Parzanica,45.73311,10.04706,Entire home/apt,195,1,13,2024-06-28,3.90,47,304,13,
680274597933871430,Stella 🌟 Bergamo center,76160286,Lilia,,Bergamo,45.69144077929288,9.663618877530098,Entire home/apt,125,2,11,2023-12-11,0.54,2,328,8,
680461113161340399,Residenza Amore Mio,471898792,Daniele,,Martinengo,45.56976,9.76848,Entire home/apt,80,1,0,,,1,365,0,
680912246011584664,Flat Fantoni 61,175324573,Stefano,,Alzano Lombardo,45.733758,9.728427,Entire home/apt,60,2,0,,,2,206,0,016008-CNI-00015
680930361556218452,Mazzini 6 Splendid studio flat with parking space,175324573,Stefano,,Alzano Lombardo,45.7332980638225,9.730092734098434,Entire home/apt,55,1,6,2024-06-23,0.66,2,303,6,016008-CNI-00011
681593797066719434,Casa Cristy,392969278,Marina,,Sarnico,45.67340170293546,9.96330736441804,Entire home/apt,91,1,1,2023-06-17,0.08,15,79,0,016193-CIM-00029
684350432423914621,BnB Stropelina - stanza Peonia,472834984,Monica,,Urgnano,45.6000895,9.724075599999999,Private room,43,1,262,2024-06-28,14.42,2,107,191,CIR 016222-BEB-00001
684354847973979788,pc house,472589432,Pasquale,,Treviglio,45.53502839999999,9.593136699999999,Entire home/apt,60,3,7,2024-01-26,0.32,1,361,2,
